id	en	bn
1	My old lady has a little six-year-old girl, and every night I have to check under the bed to see if the murderer's hiding there	আমরম 'রসথ একট6 বছরর ব চ্চথক , আমপ্রতরতদ খবছন রনচক উআছকন
2	One operation after another since 5: 00 this morning	আজ ভর৫ : ০০ট থক একটর পরএকট অপ রশনকরইযতহচ্ছ
3	It seems as though all war, terror and grossness had fallen away from me, like a miracle	মনহচ্ছযসমস্ত যুদ্ধ ,আতঙ্ক ওস্থুলত আমরক ছথক দূরসরগছ,ঠ কযন অলককঘটন
4	They have gone bravely, nobly, ever forward, realizing that there is no other duty now but to save the fatherland	তরসহস,নবগত, সর্বদএগয়এসছদ শরজন্য , আর উপলব্ধকরছযজন্মভূমকরক্ষকররচয় আরঅন্যকনবড় কর্তব্য নই
5	Last night I was too hungry to sleep and tonight, when I get the wrinkles out of my gut, they think up wiring duty	গতরতপট প্রচন্ডক্ষুধ নয়ঘুময় পড়ছল ম, আর আজ রত,যখনপটদু'চরট খবরদলম, তখন তরকঁটতরবসবরকথ ভবল
6	Of course, I've never doubted him- But still, I worry	অবশ্যই, আমত ককখন সন্দ হকরন। কন্তুত রএই চঠ এখনআমকভব চ্ছ। আমক নকূলকনরখুঁজপচ্ছন
7	Since that night in the dancehall the Little Fellow hadn't seen Georgia, but an incident was to bring them together again	সইর তথক পচ্চ চন্দুট জর্জয়ক আর ড্যন্সহলদখলন, কন্তুএকটদূর্ঘটনতদরদু 'জনক আবরএকসথকরল
8	Can you decipher for me these plans that for months have been getting discovered in the pockets of my workers	গত কয়কম সধর আমর শ্রম কদরপকটথক এইসব চক্রন্তরপ্রতলপপওয়যচ্ছ, দখতএইসক তর পঠদ্ধরকরতপরকন
9	No sooner had Hutter stepped across the bridge, than the eerie visions he had often told me about seized hold of him	যখনই বটরব্রজটপরয়এল , তরমনখুব খরপ কছুরইঙ্গতপচ্ছল, তরএইশক্তরকথসআমকআগ ওবলছল
10	A SENSATIONAL INHERITANCE As reported a short time ago, the celebrated Mexican multimillionaire Mr. A. G. Monen died whilst washing his hands in the lavatory of the Atlantic-Hotel	"সদ্য প্রকশতএকটতথ্য - ""একটচমকপ্রদউত্তরধকরপ্রপ্ত !"" ম্যক্সকরবখ্যতধনকুবর ম. এ"
11	In searching homes, be on the lookout for any clue which could establish the origin of the murderer's letter to the Courier	ঘর তল্লশরসময় এরকম কছুরখ ঁজকরবন যটরসথ খুনর চঠরসূত্রপওয় যয়
12	In the light of the sinking sun, the captain and ship's mate bid farewell to the last of their comrades	অন্ধকরচ্ছন্নএব কর্দমক্তকবর। ডুবন্ত সূর্যরআলয়, ক্যপ্টনএব জহজ রসথতদরকমরডদর শষবদয় জনন
13	And remember--- remember--- get him alive if you can, but get him	মনর খবন,মনর খবন পরলতক জবতধরবন। কন্তুযকনপদ্ধততইত কপকড়ও করতহব
