id	en	fa
1	Putting his hands into his pockets, he stretched out his legs in front of the fire and laughed heartily for some minutes	قرار دادن دست خود را در جیب خود ، او کشیده کردن پاهای خود را در مقابل آتش و صمیمانه برای چند دقیقه خندید
2	RADlO MOSCOW: ... during the launching of the space ship Vostok to orbit was normal	رادیو مسکو: در طول پرتاب وستوک نرمال گزارش شده است،
3	Now trust me, when you're growing a mustache back in 2003, and there were 30 of us back then, and this was before the ironic hipster mustache movement — (Laughter) — it created a lot of controversy. (Laughter) So my boss wouldn't let me go and see clients	خنده حاضرین) -- کلی جار و جنجال راه انداخت
4	So without further ado, would you like to hear it? (Audience: Yes	خیلی خوب، بدون حرف اضافه ای، دوست دارید صداش را بشنوید؟ (حضار) بله کارولین فیلیپس: نشنیدم، دوست دارید صداش را بشنوید؟ (حضار: بله) خیلی خوب. بریم. دوست دارم به زبان باسک بخونم که ... زبان کشور باسک که من اونجا زندگی میکنم، منطقه ای بین فرانسه و اسپانیا
5	You are sure that she has not sent it yet	شما مطمئن شوید که او تا به آن ارسال نشد رتبهدهی نشده است؟
6	"Not in a good cause. ""Oh, the cause is excellent!"" ""Then I am your man"	"نه به علت خوب است. ""اوه ، باعث عالی است!"" ""پس من مرد توام."" ""من مطمئن بود که من ممکن است بر شما تکیه می کنند."" ""اما آنچه که آن را می خواهید؟"
7	à réviser : il réalise une collection d'art personnelle] Rembrandt's self-portrait as prodigal son acknowledges his own extravagance, while making Saskia - slightly behind him, looking calmly at the viewer - the moderating force in the partnership. But tragedy lies ahead	ویرایش: یک مجموعه هنری شخصی ] پرتره رامبراند از خودش به عنوان پسر عیاش اذعان زیاده روی خود اوست، در حالی که ساسکیا - کمی پشت سر او، با آرامش به بینندگان نگاه میکند - او نیروی تعدیل کننده در این مشارکت است. اما تراژدی پیش روست ... ساسکیا در ۱۶۴۲ می میرد
8	Laughter) How many of you think that's Bouba, that's Kiki? Raise your hands	خنده حاضرین) چندتا از شما فکر میکنه که اون بوباست، اون یکی کیکی؟ دستتون رو بالا ببرید
9	Feeling good. I am alert. I'm continuing the flight	۳۲۰ اتمسفر، حالم خوبه و هشیارم. پرواز رو ادامه می دم
10	"Well, really! he cried, and then he choked and laughed again until he was obliged to lie back, limp and helpless, in the chair. ""What is it"	"خب ،! واقعا خواند ، و سپس او خفه و دوباره خندید و تا زمانی که او بود موظف به دروغ پشت ، لنگی و درمانده ، در صندلی. ""آن چیست؟"
11	384,000 women, American women, last year went in for elective breast augmentation surgery. It's rapidly becoming the most popular high school graduation gift, given to young girls who are about to go off to college	۳۸۴٫۰۰۰ زن آمریکایی، در سال قبل به انتخاب خود، به جراحی بزرگ‌کردن سینه رفته‌اند. این داره به سرعت، تبدیل به متداول‌ترین کادوی فارغ‌التحصیلی می‌شه، به دخترهای جوانی که دارند به کالج می‌روند
12	OK, let's try it again. OK, now, imagine the connection, OK. Point directly at his forehead	خب بذار دوباره امتحان کنیم. خب حالا این اتصال رو تصور کن. خب دقیقا به پیشانی او اشاره کن فقط وقتی می خوای فشار رو وارد کنی، دوباره امتحان می کنیم
13	Laughter) And we had to take action. Now our kids found out about it	خنده حضار) و ما بايد دست به عمل بزنيم. اكنون بچه‌هاي ما راهش رو پيدا كرده‌اند. و همگي آنها به نظر سالم مي‌رسند. اما در مورد نوه‌هاي ما هم اين دغدغه هست. به همين خاطر، كاري که کردیم اینه که شروع کردم به اسکن همه افراد خانواده
14	One-third of all drug overdoses in the U.S. -- and that includes cocaine, heroin, alcohol, everything -- one-third of drug overdoses are prescription medications. A strange phenomenon. This is a piece that I just recently completed about another tragic phenomenon	شامل کوکائین، هروئین، الکل و همه‌چیز- یک سوم تمام اُوردوزها، داروهای تجویزی هستند. یک پدیده عجیب. این کاریه که من اخیرا کاملش کردم درباره یک پدیده غم‌انگیز دیگر. و این پدیده علاقه شدیدیه که ما به جراحی بزرگ‌کردن سینه داریم
15	"It must be recovered. ""We have tried and failed."" ""Your Majesty must pay"	"باید بازیافت شود. ""ما تلاش کرده اند و شکست خورده است."" ""اعلیحضرت شما باید پرداخت کنید. باید آن را خریداری می کردند"
16	30% have met at least one person on the ground	۳۰ درصد از آنها حداقل یک نفر را روی زمین دیده اند
17	RADlO MOSCOW: the revolution of the spaceship around the Earth takes place within 89.1 minutes	رادیو مسکو: فضاپیما در ۸۹.۱ دقیقه زمین را دور خواهد زد
18	My girlfriend at the time, who's no longer my girlfriend — (Laughter) — hated it. Parents would shuffle kids away from us	خنده حاضرین) رییس من نمی‌گذاشت که با مشتریان ملاقات کنم. دوست دخترم در اون موقع‌ها، که الآن دیگه دوست دخترم نیست -- (خنده‌ی حاضرین) -- ازش متنفر بود. پدر مادرها بچه‌هاشون رو از ما دور می‌کردند
19	Music) We'll start by putting a lead into two sequence Siftables, arrange them into a series, extend it, add a little more lead	موسيقي) د.م: با گذاشتن يك ملودي در دو سيفتابلِ دنباله شروع مي كنيم، آنها را پشت سر هم مرتب مي كنيم، توسعه اش مي دهيم و بازهم ملودي اضافه مي كنيم. حالا يك رديف باس اضافه مي كنم. ويدئو
20	There is some cloud coverage. The direction of motion over the sea can be detected	کمی ابر می بینم. می شه جهت حرکت ابرها رو روی دریا دید
21	Pray do so. I shall be all anxiety	دعا انجام آن است. من باید همه اضطراب
22	KOROLEV: CEDAR this is DAWN. How are you feeling	"کورولیف: سدار داون صحبت می کنه. حالت چطوره؟ داون صحبت می کنه. تمام. ""گاگارین: ""داون سدار صحبت می کنه. حال من عالیه. پرواز رو ادامه می دم. نیروی جی داره زیاد می شه. ارتعاشات. من می تونم همه چیز رو به خوبی تحمل کنم"
23	Laughter) It's a very politically correct zoo, but it's a bad zoo. But this is a worse one	خنده ی حاضرین) این باغ وحش از لحاظ سیاسی خیلی خوب است، اما با این حال باغ وحش بدی است. اما این از آن هم بدتر است
24	CEDAR this is DAWN 3, no instructions from the 20th. No instructions. Everything is normal	سدار، داون ۳ صحبت می کنه. هیچ دستورالعملی از ۲۰ ام نرسیده. هیچ دستورالعملی نرسیده. همه چیز نرماله
25	Laughter) Next question, a little bit harder. Should we be collecting all of that guy's data to make his experiences better and to protect ourselves in case he's up to no good	خنده‌ی حضار) سوال بعدی، یه کم سخت تره. آیا ما باید همه‌ی داده‌های مربوط به اون شخص رو جمع کنیم تا تجربه‌ش رو بهبود ببخشیم و در صورتی که او خیالاتِ بدی داره از خودمون محافظت کنیم؟ یا باید راحتش بذاریم؟ اطلاعاتِ‌ش رو جمع کنیم
26	Applause) Thank you very much. I have a few pictures, and I'll talk a little bit about how I'm able to do what I do	تشویق تماشاگران) خیلی ممنونم من تعدادی عکس دارم و قراره کمی راجع به اینکه چطور کارم رو انجام می‌دم توضیح بدهم. و قراره کمی راجع به اینکه چطور کارم رو انجام می‌دم توضیح بدهم
27	Laughter) Now I don't mean to mock, but being a fit 10-hour-a-day office rat isn't more balanced; it's more fit	خنده) حالا من قصد مسخره کردن ندارم ولی‌ برای کسیکه ۱۰ساعت کار میکنه، تعادل نمیاره، فقط آمادگی بدنی بیشتر به اون میده. برای کسیکه ۱۰ساعت کار میکنه، تعادل نمیاره، فقط آمادگی بدنی بیشتر به اون میده
28	Did you get that letter from the woman at the fete? I wrote Horse Face on her, so you'd remember who she was	آیا نامه‌‌ی آن زن که در جشن دیدیم را دریافت کردی؟ من روی نامه‌اش نوشتم صورت اسبی٬ که یادت بیاد کی بوده
29	Stop. Good work. What you just did, that's the first step towards taking responsibility for what we should do with all of our power	کافیه. خسته نباشید. کاری که الان شما کردید، اولین قدمه برای پذیرفتنِ مسئولیتِ کاری که می‌تونیم با این همه قدرتِ‌مون انجام بدیم
30	"RADlO MOSCOW: and at present he is feeling well."" GAGARlN: Everything is going well"	"رادیو مسکو: و در حال حاضر هم حال اولین فضانورد شوروی خوب است "".گاگارین: ""همه چیز خوب پیش می ره. می تونم زمین رو ببینم .از پنجره افق رو می بینم .افق کمی به سمت پاهای من جابجا شده"
31	Because if we do, I can look forward to the conversation I'm going to have with my daughter in 20 years	چون اگر این کار رو بکنیم، می‌تونم برای مکالمه‌ای که بیست سال بعد با دخترم خواهم داشت ثانیه‌شماری کنم
