id	en	hu
1	Nos, önök feltételezhetik ezt, de ne számítsanak a támogatásunkra!	Nos, önök feltételezhetik ezt, de ne számítsanak a támogatásunkra!
2	A szavazás eredményét és egyéb részleteit lásd a jegyzőkönyvben	A szavazás eredményét és egyéb részleteit lásd a jegyzőkönyvben
3	Egy további meglehetősen jelentős kérdés a kérdéses jogszabály végrehajtása.	Egy további meglehetősen jelentős kérdés a kérdéses jogszabály végrehajtása.
4	A vízre vonatkozóan meglévő jogszabályok itt is alkalmazhatók.	A vízre vonatkozóan meglévő jogszabályok itt is alkalmazhatók.
5	A megtévesztő és összehasonlító reklám (kodifikált szöveg) (szavazás	A megtévesztő és összehasonlító reklám (kodifikált szöveg) (szavazás
6	Akárhogy is, ez nem oldható meg az úgynevezett megújuló energiaforrások egyoldalú előnyben részesítésével.	Akárhogy is, ez nem oldható meg az úgynevezett megújuló energiaforrások egyoldalú előnyben részesítésével.
7	EL) Elnök úr, az Európai Unióba importált játékok 65%-a Kínában készül.	EL) Elnök úr, az Európai Unióba importált játékok 65%-a Kínában készül.
8	a Költségvetési Bizottság véleményének fogalmazója. - (HU) Köszönöm a szót, elnök úr!	a Költségvetési Bizottság véleményének fogalmazója. - (HU) Köszönöm a szót, elnök úr!
9	Stratégiai partnerség az Európai Unió és Dél-Afrika között (szavazás	Stratégiai partnerség az Európai Unió és Dél-Afrika között (szavazás
10	Az emberkereskedők és a nőkereskedők már felkészültek rá.	Az emberkereskedők és a nőkereskedők már felkészültek rá.
11	A széndioxid-kibocsátás csökkentésének módja a megújuló energiaforrások használata a csökkenő energiaszükséglet növekvő elemeként.	A széndioxid-kibocsátás csökkentésének módja a megújuló energiaforrások használata a csökkenő energiaszükséglet növekvő elemeként.
12	A védjegyekre vonatkozó tagállami jogszabályok közelítése (kodifikált szöveg) (szavazás	A védjegyekre vonatkozó tagállami jogszabályok közelítése (kodifikált szöveg) (szavazás
13	A két partnerség nem áll ellentétben egymással; kiegészítik egymást.	A két partnerség nem áll ellentétben egymással; kiegészítik egymást.
14	Kötelező országspecifikus energiahatékonysági célkitűzésekre és megújuló energiákra vonatkozó célkitűzésekre van szükségünk.	Kötelező országspecifikus energiahatékonysági célkitűzésekre és megújuló energiákra vonatkozó célkitűzésekre van szükségünk.
15	A veszélyes termékekről szóló 2006-os bizottsági jelentés a veszélyes szabályszegések növekedését állapítja meg, az érintett termékek elsősorban játékok, hajszárítók és öngyújtók.	A veszélyes termékekről szóló 2006-os bizottsági jelentés a veszélyes szabályszegések növekedését állapítja meg, az érintett termékek elsősorban játékok, hajszárítók és öngyújtók.
16	Így gazdasági szempontból is szükségünk van a megújuló energiaforrásokra.	Így gazdasági szempontból is szükségünk van a megújuló energiaforrásokra.
17	Egy utolsó megjegyzés: az Európai Bizottság kezdeményezési monopóliuma nem légüres térben van.	Egy utolsó megjegyzés: az Európai Bizottság kezdeményezési monopóliuma nem légüres térben van.
18	Sőt, ha lehetséges, a repülés környezeti mérlegét is javítani kívánjuk.	Sőt, ha lehetséges, a repülés környezeti mérlegét is javítani kívánjuk.
19	Őshonos tüzelőanyagként a tőzeg jelentős hatással van a regionális politikára, és növeli a foglalkoztatást és az energiaellátás biztonságát.	Őshonos tüzelőanyagként a tőzeg jelentős hatással van a regionális politikára, és növeli a foglalkoztatást és az energiaellátás biztonságát.
20	2006-ban az egészségre veszélyesnek ítélt termékek felét Kínában gyártották.	2006-ban az egészségre veszélyesnek ítélt termékek felét Kínában gyártották.
21	A címkéken álló szöveg megértése az információátadás alapvető módja.	A címkéken álló szöveg megértése az információátadás alapvető módja.
22	Nem szándékozunk egy különleges bíróságon megtárgyalni a személyzet tagjának ügyét.	Nem szándékozunk egy különleges bíróságon megtárgyalni a személyzet tagjának ügyét.
23	Ez a jelentés segíti elérni ezt, ezért üdvözlöm.	Ez a jelentés segíti elérni ezt, ezért üdvözlöm.
24	Az európai szintű jogalkotás jelentősen csökkentette a bürokráciát.	Az európai szintű jogalkotás jelentősen csökkentette a bürokráciát.
25	A társadalom is értékes erdőket és élőhelyeket veszített.	A társadalom is értékes erdőket és élőhelyeket veszített.
26	A fenntarthatóság általános érvényesítése a fejlesztési együttműködési politikákban (szavazás	A fenntarthatóság általános érvényesítése a fejlesztési együttműködési politikákban (szavazás
27	Elfogyóban van a türelem, sürgős cselekvésre van szükség.	Elfogyóban van a türelem, sürgős cselekvésre van szükség.
28	Ez aláássa az Európai Bizottság és az Európai Unió hitelét.	Ez aláássa az Európai Bizottság és az Európai Unió hitelét.
29	Úgy vélem, a mai hozzászólásokból is kiviláglik a kérdés összetettsége.	Úgy vélem, a mai hozzászólásokból is kiviláglik a kérdés összetettsége.
30	Látunk számos, a mobilitás további javítása okán meglévő igényt.	Látunk számos, a mobilitás további javítása okán meglévő igényt.
31	Végezetül a gyártókhoz és a fogyasztóvédelemhez szeretnék hozzászólni.	Végezetül a gyártókhoz és a fogyasztóvédelemhez szeretnék hozzászólni.
