id	en	id_text
1	I wonder if... If you ever saw a problem play I once did	Aku ingin tahu apakah... jika kau pernah melihat bermain masalah yang pernah aku lakukan
2	After ten days, we will arrive at the target area	Sepuluh hari lagi, seharusnya bisa tiba di tujuan perairan
3	And if only half of us get back, that's our good luck	Bila hanya setengah dari kami yang kembali, itu nasib baik kami
4	You are the gay heroes who will repulse the enemy... when you are called upon to do so	Kalian adalah tokoh sentral yang akan memukul mundur musuh... ketika kalian diperintahkan untuk melakukannya
5	No matter what she asks you, don't tell her the truth	Apa pun yang dia tanyakan, jangan dijawab dengan jujur
6	You mustn't give the prisoner anything here, sir	Sesuatu? Kau tidak boleh memberikan apa pun pada tahanan di sini, Pak
7	Well, gee, I don't know how fond she is of me... but I think she's a fine girl	Aku tak tahu seberapa suka dia padaku... tapi kupikir dia gadis yang baik
8	Do not assume you did a good deed	Kau tidak berpikir kau melakukan pekerjaan dengan baik
9	Second day - 13 July one sailor ill with fever	Hari kedua: 13 Juli Satu kelasi terkena demam
10	Oh, I'm going to open up a branch office here	Oh, aku akan buka kantor cabang di sini
11	Liz: You have been threatening to tell me the truth about my husband since the day we met, and I'm ready to listen	Kau pernah mengancam untuk memberitahukan kebenaran mengenai suamiku sejak pertama kali kita bertemu, dan aku siap untuk mendengarkan
12	Cut their teeth on Milosevic's protective detail during the ethnic cleansing of the Yugoslav wars	Memotong gigi mereka pada daftar perlindungan Milosevic selama pembersihan etnik dimasa perang Yugoslavia
13	Say, is there a piccolo player in the crowd	Hey, ada pemain pikolo di antara kalian ini
14	I'll just wait around until he is famished	Aku akan tunggu di sini sampai dia merasa lapar
15	I'm gonna cut him open sometime and find out	Aku akan mengkritiknya suatu saat nanti untuk mengetahuinya
16	As a matter of fact, it was about-- well, you see, mr. constable, both these ladies are, I mean were that's playing at the theatre royale this week	Faktanya, ini tentang... baik, kau lihat, Tn. Polisi, TRA kedua wanita ini adalah
17	They're trying to ship her out of the country	Mereka mencoba untuk mengapalkannya keluar dari negara ini
18	Maybe it was 'cause I was out there with him so long, huh	Mungkin itu karena aku di sana bersamanya begitu lama, huh
19	And I tell you your king is a heretic	Dan kau harus tahu rajamu itu orang bid'ah
20	Be nice to her and she'll cough up the dough for sure	Bersikap baik padanya dan dia akan batuk adonan pasti
21	Last time, when I went to save you in the ice prison with our brothers	Waktu itu, aku membawa para saudara ke Penjara Es menyelamatkanmu
22	You see, I played a part in the thing, the part of a juryman	Kau lihat, aku berperan dalam hal itu, bagian dari seorang juri
23	There is only one rule at the Senluo Sea Market	Hanya ada satu aturan di Kota Sen Luohai
24	after the boat has capsized, save yourself with these bulrushes	setelah perahunya terbalik, selamatkan dirimu dengan rumput gajah ini
25	You remember what he always says: They're savin' him for the last	Kau ingat apa yang selalu dia katakan, mereka akan menyelamatkannya untuk yang terakhir kalinya
26	You shall see her dance, and if only one single person recognises the machine in her	Kau akan melihatnya menari, dan jika saja satu orang mengenal mesin di dalam tubuhnya
27	I must say, this street gives me the creeps	Aku harus mengatakan, jalan ini membuat aku merinding
28	Girl Who Appears at Broad Street Church In Bridal Costume By 5 O'Clock Will Be the Lucky Winner	Gadis yang muncul di Gereja Broad Street dengan gaun pengantin pada jam 17.00... akan jadi pemenang yang beruntung
29	I find it difficult sometimes to wait to a reasonable hour for my luncheon	Ohh! Kau tahu, aku harus mengaku, terkadang aku merasa sulit untuk menunggu ke jam yang wajar untuk makan siangku
30	Who cares about your family's demons , I spit it in	Siapa yang peduli dengan iblis keluargamu, aku ludah
31	I remember standing in the closet, half-dressed, reaching for my shoes when I saw that you had drawn this little heart [Scoffs lightly] In the dust on my shoe	Aku ingat berdiri di depan lemari, setengah berpakaian, mengambil sepatuku ketika kulihat kau telah menggambar hati kecil ini dengan debu diatas sepatuku
32	No, he's going home a while and get some of Mother's good cooking	Tidak, tidak, dia akan di rumah sementara waktu untuk menikmati sejumlah masakan enak ibunya
33	What is it prevents you from making a decision	Uh... tidak. Apa yang menghalangi kau untuk membuat keputusan
34	I've– I've been trying to get to see you too... because, well, I– I have a lot of things I want to talk to you about	Aku...aku sudah berusaha untuk menemuimu juga... karena aku...aku ada banyak hal yang ingin aku bicarakan denganmu
35	If you don't sign, you'll be burned alive	Jika kau tidak menandatanganinya, kau akan dibakar hidup-hidup
36	If you tell me to be patient one more time, I swear to God	Jika kau katakan padaku untuk bersabar satu kali lagi, aku bersumpah pada Tuhan
37	The keel of the ship is made of ghost trees which grown in deep seas for thousands of years	Bagian dasar kapal ini terbuat dari bahan dasar pohon Cang Haiming. Pohon ini tumbuh di lautan dalam selama beribu tahun
38	And what brings you my way, Joh Fredersen	Dan apa yang membawamu ke jalanku, Joh Fredersen
39	Open the door, yes, if you don't mind	Apakah kau keberatan... buka pintunya, ya, jika kau tidak keberatan
40	On the night of the murder,] [only one person could have approached] [Lord Zheng with valid reason	Pada malam kejadian, hanya satu orang yang bisa mendekati Tuan Zheng dengan wajar
