id	en	ur
1	Think you'd get mercy from any of them for murdering their kids	آپ ان میں سے کسی ایک سے بھی رحم ملے گا سوچو ان کے بچوں کو قتل کرنے کے لئے؟
2	I mean, you sat in court with the rest of us	میرا مطلب ہے، آپ کو ہم سب کے ساتھ عدالت میں بیٹھے
3	We must emphasize once again that it is, now more than ever, every mother and father's sacred duty to alert their children to this ever present danger and to the friendly guise it is likely to assume	ہم ایک بار پھر پر زور دینا ضروری یہ، اب، ہر ماں اور باپ کے مقدس فریضہ پہلے سے کہیں زیادہ ہے اس نے کبھی موجودہ خطرے میں اپنے بچوں کو آگاہ کرنے کے لئے
4	Victor, why don't you tell me about Rick	وکٹر، تم کیوں رک کے بارے میں مجھے بتاتے کیوں نہیں؟
5	I'm fighting for my life, not just my political life	میں نہیں صرف اپنی سیاسی زندگی، اپنی زندگی کے لیے لڑ رہا ہوں
6	You still want me to hang around, George	تم اب بھی مجھے، کے ارد گرد جارج پھانسی کرنا چاہتے ہیں؟
7	The instincts of the moment drive the murderer's actions	پل کی جبلتوں قاتل کے اقدامات کو ڈرائیو
8	If you'll forgive me, I'll share my good luck with your roulette wheel	آپ مجھے معاف کر دیں گے، تو میں آپ کے متن پہیا کے ساتھ میری اچھی قسمت کا اشتراک کریں گے
9	The original negative is preserved at the Federal Film Archive in a 96-minute version	اصل منفی وفاقی فلم ابلیھاگار میں محفوظ ہے ایک 96 منٹ کی ورژن میں
10	You know, all the same, I feel kind of sorry for Mr. Kane	تم میں اس قسم کی معذرت جناب کین کے لئے محسوس، سب ایک جیسے، جانتے ہیں
11	Miss Townsend, this is Mr. Charles Foster Kane	مس ٹاؤن سینڈ، یہ مسٹر چارلس فوسٹر کین ہے
12	He hadn't finished it when she left him	اس نے اسے چھوڑ دیا جب انہوں نے یہ ختم نہیں ہوا تھا
13	I saw you follow that little girl from the fourth floor up the stairs	میں نے آپ کو چوتھی منزل اپ سیڑھیوں سے اس چھوٹی سی لڑکی کو فالو دیکھا
14	She was like all the girls I knew in dancing school	وہ میں رقص اسکول میں جانتا تھا کہ تمام لڑکیوں کی طرح تھا
15	Yeah, we have all this work to do	جی ہاں، ہم کرتے ہیں یہ سب کام ہے
16	If someone loved you very much so that your happiness was the only thing that she wanted in the world and she did a bad thing to make certain of it	کوئی آپ سے بہت محبت کرتا تھا تو آپ کی خوشی وہ دنیا میں چاہتا تھا کہ صرف ایک ہی چیز تھی تاکہ اور وہ اس کے کچھ بنانے کے لئے ایک برا کام کیا
17	A miserable little clerk, crawling in here on your hands and knees and begging for help	ایک دکھی تھوڑا کلرک، اپنے ہاتھوں اور گھٹنوں پر یہاں میں داخلے اور مدد کے لئے بھیک مانگ
18	After the first couple of months she and Charlie didn't see much of each other except at breakfast	ماہ کے پہلے جوڑے کے بعد وہ اور چارلی ناستے کے وقت سوائے ایک دوسرے کے زیادہ تر کو نہیں دیکھا تھا
19	The Nazis have chased him all over Europe	نازیوں تمام یورپ بھر میں اس کا پیچھا کیا کیا ہے
20	Bert the cop was wounded in North Africa, got the Silver Star	پولیس اہلکار نے شمالی افریقہ میں زخمی ہو گیا برٹ، سلور سٹار مل گیا
21	You never really gave me anything that you care about	تم سچ میں مجھے آپ کے بارے میں پرواہ ہے کہ کچھ بھی نہیں دیا
22	I know, but you don't want me to laugh at you	میں جانتا ہوں، لیکن تم مجھے آپ پر ہنسنا نہیں کرنا چاہتا
23	You're supposed to be the one that has all the answers	آپ تمام جوابات ہیں کہ ایک ہونا چاہیے رہے ہیں
24	You haven't any proof, and you know it	تمہارے پاس کوئی ثبوت نہیں ہے، اور تم یہ جانتے ہو
25	You told me your name, Mr. Kane, but I'm awfully ignorant	تم نے مجھے اپنا نام، مسٹر کین کو بتایا، لیکن میں بہت جاہل ہوں
26	I wouldn't show him in a convict suit so his children could see his picture in the paper	میں نے ایک قیدی کے سوٹ میں اس کے ظاہر نہیں کرے گا تو اپنے بچوں اخبار میں ان کی تصویر دیکھ سکتا تھا
27	We've got evidence that would look bad in the headlines	ہم شہ سرخیوں میں برا نظر آئے گا اس بات کا ثبوت مل گیا ہے
28	It'll make you all happy to learn that our circulation this morning was the greatest in New York: 684,000	آج صبح ہماری گردش کو یہ جان کر کہ آپ سب کو خوش کر دیتا ہوں نیو یارک میں سب سے بڑا تھا: 684.000
29	He is today what he has always been and always will be: a fascist	انہوں نے کہا کہ ہمیشہ رہے گا ہمیشہ رہا ہے اور کیا آج ہے: ایک فاشسٹ
30	And for the carriage trade, I put on my hat	اور گاڑی تجارت کے لئے، میں نے اپنی ٹوپی پر ڈال دیا
31	And I never went to any swell schools	اور میں کسی بھی سوجن اسکولوں میں کبھی نہیں گیا
32	I don't propose to have myself made ridiculous	میں اپنے آپ کو مضحکہ خیز بنا دیا ہے کرنے کی تجویز نہیں ہے
33	Mary had two more babies but still found time to run the USO	مریم مزید دو بچے تھے لیکن پھر بھی یوایسو چلانے کے لئے وقت مل گیا
34	Say, Mr. Kane, as long as you're promising there's a lot of pictures and statues in Europe you ain't bought yet	جب تک آپ کا وعدہ کر رہے ہیں کے طور پر، جناب کین کہنا ہے کہ اگر آپ نے ابھی تک خریدا نہیں کیا جاتا ہے یورپ میں تصاویر اور مجسموں کی ایک بہت ہے
35	He's not in the boiler room or the coal room	انہوں نے کہا کہ بوائلر کمرے یا کوئلے کمرے میں نہیں ہے
36	Of course, you can't get good fingerprints from a postcard that's passed through so many hands	کورس کے، آپ کو ایک پوسٹکارڈ سے اچھی فنگر پرنٹس حاصل نہیں کر سکتے کہ اتنے سارے ہاتھ سے گزر رہا ہے
37	Georgie, don't you ever get tired ofjust reading about things	جورجی، کیا تم نے کبھی صرف چیزوں کے بارے میں پڑھنے کے تھکے ہوئے حاصل نہیں کرتے؟
38	He's been in the insane asylum ever since he lost his business	انہوں نے کہا کہ وہ اپنے کاروبار کو کھو دیا تب سے پاگل خانے میں رہا ہے
39	Do I paint a correct picture, or do I exaggerate	میں نے ایک صحیح تصویر پینٹ کریں، ورنہ میں مبالغہ آرائی کرتے ہیں؟
40	The old man lived downstairs under the room where the killing took place	بوڑھے آدمی کے قتل کی جگہ لے لی جہاں کمرے کے تحت نیچے رہتے تھے
41	Why, in the 25 years since he and Uncle Billy started this thing, he never once thought of himself	کیوں، 25 سال میں انہوں نے اور انکل بلی، اس بات کو شروع کے بعد انہوں نے ایک بار اپنے آپ کو کبھی نہیں سوچا تھا
42	He claimed he was at the movies during the time of the killing and yet, one hour later, he couldn't remember the names of the films he saw	انہوں نے کہا کہ قتل کے وقت کے دوران فلموں میں تھا نے دعوی کیا اور ابھی تک، ایک گھنٹے بعد، وہ اس نے دیکھا فلموں کے ناموں کو یاد نہیں کر سکتے ہیں
43	George, I'm going all out to help in this crisis	جارج، میں نے اس بحران میں مدد کرنے کے لئے تمام باہر جا رہا ہوں
44	And with me run the ghosts of the mothers and children	اور میرے ساتھ ماضی کو چلانے کے ماؤں اور بچوں کے
45	I don't know how to thank you. - Save it	میں آپ کا شکریہ ادا کرنے کا طریقہ نہیں جانتے
46	And when did you first find out he was alive	اور جب آپ سب سے پہلے وہ زندہ تھا پتہ چلا؟
47	If I didn't give them to you in a concentration camp where you had more persuasive methods at your disposal I certainly won't give them to you now	میں نے ایک حراستی کیمپ میں انہیں تمہارے پاس نہیں دیا تو آپ کو آپ کے اختیار میں زیادہ قائل کرنے کے طریقوں تھا جہاں میں یقینی طور پر اب آپ کو ان کو نہیں دے گا
48	They're constantly on call, always tense and alert	وہ کال، ہمیشہ پریشان اور الرٹ پر مسلسل ہو
49	It isn't enough to tell us what a man did you've got to tell us who he was	یہ ایک آدمی نے کیا کیا ہمیں بتانا کافی نہیں ہے آپ وہ کون تھا ہمیں بتانے کے لئے مل گیا ہے
50	My impression was he's just another blundering American	میرا تاثر ہے کہ وہ صرف ایک اور خطا امریکی ہے تھا
51	every bush examined, since any bush or hollow could harbor some object that could finally set us on the right track	ہر بش کی جانچ پڑتال کی، کوئی بھی جھاڑی یا کھوکھلی کچھ اعتراض بندرگاہ سکتا ہے کے بعد سے کہ آخر میں صحیح راستے پر ہمیں قائم کر سکتے ہیں
52	Last night we said a great many things	کل رات ہم نے ایک عظیم کئی باتیں کہی
53	I sang for teachers at $100 an hour	مجھے 100 ڈالر ایک گھنٹے میں اساتذہ کے لئے گایا
54	You know the leader of the underground movement in Paris, in Prague Brussels, Amsterdam Oslo, Belgrade, Athens	تم نے پراگ میں پیرس میں زیر زمین تحریک کے رہنما جانتے ہیں برسلز، ایمسٹرڈیم اوسلو، بلغراد، ایتھنز
55	Right. This el train had no passengers on it	یہ ال ٹرین اس پر کوئی مسافروں تھا
56	That's why the police must follow up every lead	پولیس ہر برتری حاصل کی پیروی کرنا ضروری ہے یہی وجہ ہے کہ
57	It's beautiful up there in the moonlight, and there's a green pool up there, and we can swim in it	پھر ہم فالس تک جا سکتے ہیں. یہ چاندنی میں وہاں خوبصورت ہے اور وہاں ایک سبز پول اپ موجود ہے، اور ہم نے اس میں تیر کر سکتے ہیں
58	I wouldn't live in it as a ghost	میں نے ایک ماضی کے طور پر اس میں رہنے نہیں دے گا
59	That ought to put your mind to rest about my helping Laszlo escape	وہ میری مدد کر لیسزلو فرار ہونے کے بارے آرام کرنے کے لئے آپ کے دماغ میں ڈال کرنے کے لئے چاہئے
60	Who wants to see liver pills on their honeymoon	کون ان کے سہاگ رات پر جگر کی گولیاں دیکھنے کے لئے چاہتا ہے؟
61	That's the reason why I came in fourth	یہی تو میں چوتھی میں آیا تھا یہی وجہ ہے
